"Fecha";Local;Visita;Distancia
"12";"Universidad de Chile";"Everton";"8294.95"
"12";"Colo-Colo";"Santiago Wanderers";"8304.74"
"12";"Universidad Católica";"Unión La Calera";"8259.52"
"12";"Universidad Católica";"Unión La Calera";"8510.56"
"12";"Universidad Católica";"Unión La Calera";"8504.4"
"13";"Audax Italiano";"Deportes Iquique";"7940.06"
"13";"Palestino";"Deportes Antofagasta";"8018.46"
"13";"Curicó Unido";"Cobresal";"7984.7"
"13";"O'Higgins";"Coquimbo Unido";"8218.02"
"13";"Universidad Católica";"Deportes La Serena";"8208.81"
"13";"Unión Española";"Everton";"8294.95"
"13";"Universidad de Chile";"Santiago Wanderers";"8304.74"
"13";"Colo-Colo";"Unión La Calera";"8259.52"
"13";"Colo-Colo";"Unión La Calera";"8510.56"
"13";"Colo-Colo";"Unión La Calera";"8504.4"
"14";"O'Higgins";"Deportes Iquique";"7940.06"
"14";"Curicó Unido";"Deportes Antofagasta";"8018.46"
"14";"Palestino";"Cobresal";"7984.7"
"14";"Audax Italiano";"Coquimbo Unido";"8218.02"
"14";"Universidad de Chile";"Deportes La Serena";"8208.81"
"14";"Colo-Colo";"Everton";"8294.95"
"14";"Unión Española";"Santiago Wanderers";"8304.74"
"14";"Huachipato";"Unión La Calera";"8259.52"
"14";"Universidad de Concepción";"Universidad Católica";"8208.24"
"15";"Curicó Unido";"Deportes Iquique";"7940.06"
"15";"O'Higgins";"Deportes Antofagasta";"8018.46"
"15";"Audax Italiano";"Cobresal";"7984.7"
"15";"Palestino";"Coquimbo Unido";"8218.02"
"15";"Colo-Colo";"Deportes La Serena";"8208.81"
"15";"Universidad Católica";"Everton";"8294.95"
"15";"Huachipato";"Santiago Wanderers";"8304.74"
"15";"Unión Española";"Unión La Calera";"8259.52"
"15";"Universidad de Concepción";"Universidad de Chile";"8219.71"
"16";"Huachipato";"Deportes Iquique";"7940.06"
"16";"Universidad de Concepción";"Deportes Antofagasta";"8018.46"
"16";"Universidad de Concepción";"Deportes Antofagasta";"7984.7"
"16";"Cobresal";"Coquimbo Unido";"8218.02"
"16";"Cobresal";"Coquimbo Unido";"8208.81"
"16";"Deportes La Serena";"Everton";"8294.95"
"16";"Universidad Católica";"Santiago Wanderers";"8304.74"
"16";"Universidad de Chile";"Unión La Calera";"8259.52"
"16";"Universidad de Chile";"Unión La Calera";"8218.39"
"16";"Audax Italiano";"Colo-Colo";"8220.18"
"16";"Audax Italiano";"Colo-Colo";"8226.56"
"16";"Palestino";"Unión Española";"8222.85"
"16";"Palestino";"Unión Española";"8246.41"
"16";"O'Higgins";"Curicó Unido";"8307.72"
"17";"Universidad de Concepción";"Deportes Iquique";"7940.06"
"17";"Huachipato";"Deportes Antofagasta";"8018.46"
"17";"Huachipato";"Deportes Antofagasta";"7984.7"
"17";"Huachipato";"Deportes Antofagasta";"8218.02"
"17";"Coquimbo Unido";"Deportes La Serena";"8208.81"
"17";"Cobresal";"Everton";"8294.95"
"17";"Cobresal";"Everton";"8304.74"
"17";"Santiago Wanderers";"Unión La Calera";"8259.52"
"17";"Santiago Wanderers";"Unión La Calera";"8218.39"
"17";"Santiago Wanderers";"Unión La Calera";"8220.18"
"17";"Colo-Colo";"Palestino";"8226.56"
"17";"Audax Italiano";"Unión Española";"8222.85"
"17";"Audax Italiano";"Unión Española";"8208.24"
"17";"Universidad Católica";"Universidad de Chile";"8219.71"
